product_id,product_url,name,discount,discounted_price,original_price,rating,product_info
8209177,https://www.dresslily.com/christmas-stocking-print-front-pocket-product8209177.html,Christmas Stocking Print Front Pocket Drawstring Hoodie,50,16.81,33.83,,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Christmas Stocking;Season:Fall,Spring;Weight:0.4100kg;Package Contents:1 x Hoodie"
8152639,https://www.dresslily.com/3d-swirl-print-front-pocket-product8152639.html,3D Swirl Print Front Pocket Hoodie,57,17.16,40.28,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:3D Print;Season:Fall,Spring;Weight:0.4950kg;Package Contents:1 x Hoodie"
2190152,https://www.dresslily.com/drawstring-applique-checked-embossing-hoodie-product2190152.html,Drawstring Applique Checked Embossing Hoodie,65,15.48,44.22,5.0,"Occasion:Daily Use,Going Out,Sports;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Solid;Season:Fall,Spring,Winter;Weight:0.6200kg;Package Contents:1 x Hoodie"
8159274,https://www.dresslily.com/halloween-pumpkin-bat-print-long-product8159274.html,Halloween Pumpkin Bat Print Hoodie,57,19.28,44.82,,"Clothes Type:Hoodie;Occasion:Halloween;Style:Novelty;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal,Pumpkin;Season:Fall,Spring,Winter;Weight:0.5400kg;Package Contents:1 x Hoodie"
1776305,https://www.dresslily.com/crew-neck-long-sleeve-sweatshirt-product1776305.html,Cartoon Elk Print Long Sleeve Sweatshirt,69,12.65,40.80,,"Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Style:Fashion;Weight:0.421kg;Package Contents:1 x Sweatshirt"
8166466,https://www.dresslily.com/tiger-painting-splatter-print-kangaroo-product8166466.html,Tiger Painting Splatter Print Kangaroo Pocket Hoodie,51,17.75,36.29,,"Clothes Type:Hoodie;Occasion:Daily,Dance,Going Out,Party;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal,Painting,Tiger;Season:Fall,Spring;Weight:0.4700kg;Package Contents:1 x Hoodie"
8166465,https://www.dresslily.com/halloween-angry-pumpkin-print-kangaroo-product8166465.html,Halloween Angry Pumpkin Print Kangaroo Pocket Hoodie,53,17.24,36.65,,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Pumpkin;Season:Fall,Spring;Weight:0.5000kg;Package Contents:1 x Hoodie"
3002693,https://www.dresslily.com/3d-terrible-skull-print-pullover-product3002693.html,3D Terrible Skull Print Pullover Sweatshirt,64,11.18,31.48,,Material:Polyester;Shirt Length:Regular;Sleeve Length:Full;Style:Fashion;Weight:0.3500kg;Package Contents:1 x Sweatshirt
3218566,https://www.dresslily.com/color-block-splicing-drawstring-hoodie-product3218566.html,Color Block Splicing Drawstring Hoodie,69,16.19,51.83,,"Clothes Type:Hoodie;Occasion:Daily,Dance,Going Out,Home,Party,Travel,Vacation;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Patchwork;Season:Fall,Spring;Weight:0.4700kg;Package Contents:1 x Hoodie"
8159280,https://www.dresslily.com/moon-night-wolf-graphic-print-product8159280.html,Moon Night Wolf Graphic Print Kangaroo Pocket Hoodie,45,23.04,42.15,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Trendy;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:3D Print,Animal,Graphic;Season:Fall,Spring;Weight:0.5350kg;Package Contents:1 x Hoodie"
8171803,https://www.dresslily.com/color-block-kangaroo-pocket-pullover-product8171803.html,Color Block Kangaroo Pocket Pullover Drawstring Hoodie,54,16.40,35.43,,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Color Block;Season:Fall,Winter;Weight:0.4400kg;Package Contents:1 x Hoodie"
1650425,https://www.dresslily.com/star-embroidered-drawstring-pullover-hoodie-product1650425.html,Star Embroidered Kangaroo Pocket Drawstring Pullover Hoodie,63,13.09,35.27,,Style:Fashion;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton Blends;Weight:0.500kg;Package Contents:1 x Hoodie
7886627,https://www.dresslily.com/front-pocket-panel-zip-up-product7886627.html,Front Pocket Panel Zip Up Hoodie,66,13.00,37.94,,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Polyurethane;Thickness:Regular;Patterns:Color Block;Season:Fall;Weight:0.4100kg;Package Contents:1 x Hoodie"
