product_id,rating,timestamp,text,size,color
2378451,5,"Dec,25 2019 08:23:57",Perfect but dang kinda took long than expected,L,BLACK
2378451,5,"Dec,22 2019 04:36:08",bestie that i bought this for adores it and always thanks me bc he says it comfy and It just looks good on him with anything he wears shorts pants dressy or casual it's an a+,XL,BLACK
2378451,5,"Nov,06 2019 05:56:00",very comfortable and cute!,XL,BLACK
2378451,5,"Dec,05 2018 11:51:44",Super Ware,L,LIGHT BLUE
2378451,5,"Jan,05 2018 00:44:02",Cute,XL,LIGHT BLUE
8186395,5,"Nov,30 2019 19:23:59",The product matches the picture and looks great on my husband. It also arrived on time so I'm very pleased.,L,BLACK
2995694,5,"Dec,15 2019 17:54:15",very nice,2XL,LIGHT GRAY
3223242,5,"Oct,17 2019 19:02:43",It’s great my dad loves it,XL,GRAY
3223242,5,"Dec,08 2018 11:40:20",Cute,M,BLACK
3234961,5,"Dec,23 2019 18:27:03",Nice,M,DAY SKY BLUE
3234961,5,"Dec,01 2019 06:08:27",I had way more people compliment me on this pull over sweat shirt . Several even wanted to know were I got it so they could buy one.,2XL,DAY SKY BLUE
3234961,5,"Sep,05 2019 22:16:19","Good quality and excellent graphics!! True to size, and excellent packaging!! Love it a lot, exactly as pictured!! Fast delivery, and excellent packaging.!!",2XL,DAY SKY BLUE
2683384,5,"Dec,01 2019 03:41:24","Item case exactly as described, sized up according to their chart and other reviews, good fit, great buy :)",XL,BLUE
2683384,5,"Nov,13 2019 14:49:30",the material is quite soft and nice. It will be an excellent hoodie to have for the summer,XL,BLUE
2683384,5,"Jul,22 2019 22:01:38","Ich der Schweiz trage ich L, bestellt habe ich XL, damit es passt. Bei den T-Shirts ist XL aber zu klein!",XL,BLUE
2683384,4,"May,04 2019 01:28:43","Received it on time. The fabric feels more satin than expected, but it seems warm.",L,BLUE
2683384,5,"Nov,09 2018 16:20:30",Good quality,2XL,RED
2683384,5,"Sep,24 2018 16:29:33",Good quality,2XL,BLUE
8212440,5,"Dec,09 2019 07:04:44","Great sweater, got what I ordered. It’s cute and will be perfect for a family photo. I ordered a size up and it fits good and will be warm.",XL,multicolor
5293644,5,"Jul,04 2019 02:52:31",Nice,M,multicolor
6700362,5,"Jan,15 2020 10:32:54","Amazing. Lightweight, festive enough to make my mom laugh on Christmas Eve, and comfortable.",2XL,GREEN
